University of Sydney,12.97,13.59,12.5,11.5,11.24,11.19,11.5,10.53,11.35,11.46,10.97,11.99,13.13,12.78,,6.91,6.47,6.72,5.57,5.91,5.47,5.33,5.46,6.09,5.93
University of Technology Sydney,13.37,13.47,10.93,13.21,12.61,12.64,13.8,12.53,14.63,13.24,15.18,14.58,15.88,14.12,,8.21,8,8.91,6.31,7.33,7.46,7.45,7.47,8.3,7.74
Western Sydney University,22.86,20.78,19.87,22.25,19.73,18.09,20.38,18.61,19.49,20.13,20.83,21.62,20.95,21.47,,13.67,12.04,13.53,11.39,11.15,11.39,11.88,12.73,12.48,14.11
State Total,18.17,18.48,17.08,17.51,17.29,16.68,17.4,16.06,17.16,17.64,18.01,18,18.7,18.71,,13.4,12.56,13.03,11.03,11.36,11.7,11.63,11.92,12.35,12.72
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,
Deakin University,20.63,20.95,20.09,19.28,19.54,18.57,17.64,16.84,16.34,15.35,16.88,17.31,19.12,20.18,,15.93,14.73,13.98,12.69,11.62,10.37,11.45,11.89,13.37,14.42
Federation University Australia(e),19.98,20.79,21.41,20.6,19.67,21.87,20.65,24.82,18.05,21.42,24.39,25.63,26.71,28.79,,15.35,18.29,16.58,19.82,13.13,16.12,17.33,19.13,21.29,23.31
La Trobe University,21.3,22.36,21.73,20.87,18.84,17.57,19.89,19.23,18.2,20.32,18.71,18.23,18.17,18.74,,14.3,13.56,14.87,13.8,11.91,13.19,11.93,11.43,11.88,11.61
Monash University,15.36,15.97,14.14,13.58,13.25,12.3,11.42,10.9,11.32,11.99,11.48,11.21,11.91,11.15,,10.78,9.68,8.32,7.28,7.33,7.67,6.85,6.52,7.32,6.46
RMIT University,17.99,17.45,16.82,17.09,17.07,17.08,16.16,16.51,15.83,16.32,16.39,16.18,14.78,15.26,,14.15,13.31,12.38,11.56,10.3,10.72,10.5,10.55,9.76,10.36
Swinburne University of Technology,18.68,19.51,18.34,19.12,18.71,18.55,17.18,19.53,18.47,19.4,21.11,27.25,33.72,29.91,,14.67,14.13,14.08,14.69,13.06,12.8,13.72,21.55,28.05,24.7
The University of Melbourne(f),9.94,10.27,9.13,8.92,8.64,8.61,8.61,8.87,7.43,8.31,8.51,7.66,8.39,7.5,,6.09,5.74,5.36,4.96,3.74,4.53,5.16,3.83,4.44,3.74
University of Divinity,(g),(g),(g),(g),33.33,46.59,52.24,38.54,31.63,32.14,35.71,26.09,25.3,17.53,,27.16,43.18,49.25,36.46,23.47,27.38,30.95,22.61,24.1,17.53
Victoria University,24.58,22.88,24.23,21.07,23,22.35,23.34,21.26,23.03,26.4,21.77,25.37,28.4,26.41,,18.92,18.43,18.56,15.05,16,17.42,14.98,17.99,20.51,19.48
State Total,17.92,18.22,17.56,16.62,16.62,16.22,16.06,15.98,15.46,16.75,16.33,17.5,19.55,19.01,,13.25,12.69,12.26,11.36,10.34,10.99,10.65,11.89,14.03,13.56
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,
Bond University,(g),(g),(g),9.72,14.1,11.16,12.13,14.5,14.06,13.2,14.85,16.38,19.09,16.06,,11.24,9.59,10.37,11.43,9.58,8.45,10.25,10.06,11.02,10.62
Central Queensland University,25.11,25.42,26.94,24.79,33.84,34.38,32.79,32.21,34.24,30.66,32.07,31.99,31.2,30.86,,30.95,30.71,28.87,27.7,27.23,26.04,27.26,25.5,24.99,24.09
Griffith University,19.95,23.98,24.12,24.38,23.38,23.08,24.11,22.04,23.16,25.35,23.43,23.47,24.26,23.59,,18.17,18,18.61,15.4,15.59,16.12,14.59,15.34,15.9,16.05
James Cook University,25.33,27.06,27,26.48,25.75,28.04,25.18,24.65,22.27,24.2,24.7,26.68,22.99,24.47,,22.39,23.42,21.5,19.33,17.59,19.41,19.17,20.79,18.21,19.13
Queensland University of Technology,18.63,19.84,17.62,19.18,17.74,18.84,19.01,17.63,16.1,17.88,16.62,16.92,18.16,17.48,,14.31,14.99,14.58,12.56,10.98,11.84,11.11,10.88,11.68,12.01
The University of Queensland,16.42,16.85,16.94,15.33,16.57,17.49,19.16,15.17,15.94,16.12,15.51,15.56,17.97,18.55,,11.12,12.2,14.32,9.04,9.05,9.53,8.27,8.62,9.5,9.92
University of Southern Queensland,26.49,27.51,27.71,30.12,28.79,27.59,28.51,26.85,26.66,29.26,28.61,29.1,29.43,26.33,,24.95,24.37,24.35,22.34,21.84,24.2,23.13,24.16,24.73,22.2
University of the Sunshine Coast,32.83,39.24,40.09,37.49,35.79,35.66,32.35,27.99,26.94,27.27,28.57,28.97,27.75,26.37,,27.73,27.73,26.63,20.46,19.5,20.14,21.07,21.37,22.05,20.12
State Total,20.97,22.7,22.6,22.57,22.73,22.88,23.04,21.03,21.11,22.31,21.63,22.06,22.72,22.3,,18.34,18.33,18.4,15.39,14.91,15.71,15.01,15.37,15.75,15.74
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,
Curtin University of Technology,16.97,19.65,18.68,16.27,17.62,16.71,19.6,16.89,16.56,18.62,18.05,20.04,19.64,19.7,,14.64,14.01,16.48,12.7,12.55,13.77,12.98,14.8,14.4,14.15
Edith Cowan University,23.94,23.52,24.39,23.53,23.23,23.63,24.87,23.03,22.87,23.55,23.73,23.71,26.42,25.61,,19.88,20.24,20.99,18.41,18.38,18.18,18.63,18.66,21.69,20.93
Murdoch University,20.78,22.33,20.71,22.2,22.56,25.46,25.97,23.57,26.42,24.73,24.32,25.99,28.5,24,,18.46,20.52,20.59,17.38,19.58,18.14,17.18,19.16,21.65,18.85
The University of Notre Dame Australia,28.11,21.4,20.14,19.37,19.59,17.72,14.75,14.16,15.13,16.8,17.13,16.35,16.65,14.95,,16.5,13.78,10.99,9.06,9.16,10.49,11.44,10.25,10.5,9.57
The University of Western Australia,14.41,12.36,12.58,12.16,12.66,12.31,12.72,12.84,13.39,12.85,12.4,12.95,13.81,14.67,,8.97,8.81,8.65,7.46,7.91,7.15,7.19,6.62,6.85,7.67
State Total,19.4,20.08,19.77,18.87,19.31,19.14,20.11,18.36,18.82,19.47,19.12,19.99,21.09,20.3,,15.9,15.63,16.2,13.42,13.74,13.92,13.65,14.29,15.34,14.78
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders University,21.72,22.15,21.07,19.7,21.11,18.58,20.34,19.37,19.88,20.39,19.73,20.51,22.53,22.47,,16.7,15.15,17.4,13.84,15.42,15.09,14.73,15.64,17.26,17.18
The University of Adelaide,18.04,18.1,18.14,16.3,17.25,15.27,15.95,15.08,15.55,16.4,16.82,17.85,16.9,17.35,,11.74,11.69,11.27,9.51,9.04,10.36,10.76,12.38,10.52,11.58
University of South Australia,21.05,21.09,19.08,20.53,20.27,20.36,20.83,19.29,17.97,19.46,21.88,20.89,20.63,20.67,,17.79,18.02,18.38,15.58,14.18,14.91,16.61,15.66,16.42,16.11
State Total,20.38,20.6,19.37,19.21,19.73,18.58,19.33,18.1,17.76,18.78,19.65,19.82,20.08,20.2,,15.95,15.63,16.12,13.36,12.96,13.57,14.22,14.62,14.89,15.05
Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Maritime College(h),23.81,22.82,28.86,30.15,27.52,15.66,(h),(h),(h),(h),(h),(h),(h),(h),,17.43,10.84,34.48,(h),(h),(h),(h),(h),(h),(h)
University of Tasmania(h),18.17,19.37,19.32,20,18.92,21.61,22.74,21.8,19.15,21.61,20.67,24.54,35.76,42.46,,17.19,18.81,18.83,18.66,16.3,18.55,17.33,20.39,31.77,38.13
State Total,18.33,19.49,19.68,20.32,19.16,21.48,22.74,21.8,19.15,21.61,20.67,24.54,35.76,42.46,,17.2,18.63,19.3,18.66,16.3,18.55,17.33,20.39,31.77,38.13
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,
Batchelor Institute of Indigenous Tertiary Education(i),10,36.17,38.89,87.5,31.71,34.57,40.45,44.28,39.77,55.74,88.64,(g),(g),(g),,31.71,34.57,40.45,40.3,39.2,49.18,44.7,(g),(g),(g)
Charles Darwin University(i),34.82,34.21,33.72,32.54,32.01,32.58,32.03,31.35,32.09,33.51,33.09,32.53,32.59,32.68,,27.69,29.14,27.74,26.58,25.14,27.1,27.13,26.58,26.16,26.17
State Total,34.64,34.28,33.79,33.86,31.99,32.7,32.5,32.8,32.79,34.9,36.96,32.53,32.59,32.68,,27.9,29.45,28.45,28.12,26.41,28.48,28.35,26.58,26.16,26.17
Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,
The Australian National University,17.44,17.78,13.76,11.11,11.54,11.23,12.83,11.08,9.83,11.04,9.76,12.55,13.5,12.83,,7.97,8.13,8.31,6.5,5.1,6.08,5.31,6.56,7.78,7.37
University of Canberra,19.75,18.48,18.58,17.6,18.93,21.02,19.89,19.24,18.76,20.61,21.82,21.78,22.31,22.46,,14.15,15.77,15.16,14.26,12.48,15.27,15.05,15.09,17.41,17.47
State Total,18.66,18.13,16.42,14.44,15.48,16.38,16.36,15.19,15.2,16.78,16.96,17.74,18.88,18.53,,11.27,12.15,11.74,10.41,9.53,11.59,11.12,11.36,13.67,13.34
Multi-State,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Catholic University,21.15,19.75,20.32,18.61,19.74,17.47,17.34,20.45,21.17,21.68,23.27,22.36,22.07,23.23,,13.26,12.43,11.79,12.69,12.89,13.55,13.28,13.41,14.04,15.34
State Total,21.15,19.75,20.32,18.61,19.74,17.47,17.34,20.45,21.17,21.68,23.27,22.36,22.07,23.23,,13.26,12.43,11.79,12.69,12.89,13.55,13.28,13.41,14.04,15.34
,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Attrition rate for year(x) is the proportion of students who commenced a bachelor course in year(x) who neither complete nor return in year(x + 1).,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Includes only Public Universities (Table A) and Table B Universities. Institution name reflects the trading name of the institution. In some cases, institution name has changed since the release of 2014 full year data.",,,,,,,,,,,,,,,,,,,,,,,,,
(c) Figures are based on full year data.,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Data for the Australian Defence Force Academy are included under The University of New South Wales.,,,,,,,,,,,,,,,,,,,,,,,,,
(e) Previously University of Ballarat.,,,,,,,,,,,,,,,,,,,,,,,,,
"(f) Prior to 2006, The University of Melbourne classified Study Abroad students as award. These were re-classified in 2006 to non-award, removing them from the scope of Retention calculation and affecting the rates.",,,,,,,,,,,,,,,,,,,,,,,,,
(g) There were no domestic commencing bachelor students at the institution.,,,,,,,,,,,,,,,,,,,,,,,,,
"(h) From 2007 onwards, data for the Australian Maritime College are reported as part of the University of Tasmania.",,,,,,,,,,,,,,,,,,,,,,,,,
"(i) As a result of a collaborative partnership between Batchelor Institute of Indigenous Tertiary Education and Charles Darwin University which established The Australian Centre for Indigenous Knowledge and Education (ACIKE),",,,,,,,,,,,,,,,,,,,,,,,,,
the delivery of most undergraduate programs will be at Charles Darwin University from 2012.,,,,,,,,,,,,,,,,,,,,,,,,,
"(j) Attrition rate (normal calculation) is based on a match process using the students' StudentID. This gives a ""crude"" attrition rate, which identifies students that neither complete a course nor are retained the following year at the same institution.",,,,,,,,,,,,,,,,,,,,,,,,,
"(k) Attrition rate (adjusted calculation) is based on a match process using both the StudentID and CHESSN. This gives a more accurate attrition rate calculation, as it identifies students at either the same or a different higher education institution.",,,,,,,,,,,,,,,,,,,,,,,,,
"In other words, if a student moves from one institution to another in the following year, he or she would be counted as retained in the adjusted attrition rate calculation, but attrited in the normal attrition rate calculation.",,,,,,,,,,,,,,,,,,,,,,,,,
"Please note that the CHESSN is only required for Commonwealth Assisted students, which means the Adjusted Attrition Rate calculation using CHESSN will not be available for some students (namely non-Fee-HELP fee-paying students),",,,,,,,,,,,,,,,,,,,,,,,,,
although these students can still be matched using their Student ID if they studied the following year at the same institution.,,,,,,,,,,,,,,,,,,,,,,,,,
